source,target,oneway,access,width,length,maxspeed,name,lanes,highway,junction,geometry,tunnel,osmid,bridge,ref,area
31918151,3579364826,False,,,53.912,50,Am Dorfplatz,2,tertiary,,"LINESTRING (11.5979319 50.8676555, 11.5977482 50.8676118, 11.5975719 50.8675483, 11.5974622 50.8674776, 11.597356 50.8673617)",,4903733,,K 2,
31918151,271959925,False,,,160.71099999999998,50,,2,tertiary,,"LINESTRING (11.5979319 50.8676555, 11.5979222 50.8677475, 11.5979082 50.8679183, 11.5978595 50.8686964, 11.5978664 50.8689135, 11.597904 50.8690982)",,"[170709723, 157504029, 157504014, 199998366]",yes,,
31918151,31993078,False,,,179.312,"['50', '30']",Alter Handelsweg,2,"['residential', 'unclassified']",,"LINESTRING (11.5979319 50.8676555, 11.5979868 50.8673189, 11.5984191 50.8673373, 11.5986567 50.8673677, 11.5992799 50.867475, 11.5996826 50.8675432, 11.5998327 50.8675583, 11.5999581 50.8675411)",,"[4903732, 270937839]",,,
31918151,31993087,False,,,255.95600000000002,"['50', '30']","['Am Dorfplatz', 'Am Leutrabach']",2,tertiary,,"LINESTRING (11.5979319 50.8676555, 11.5980424 50.8676715, 11.5981574 50.8677122, 11.5982607 50.8677621, 11.5983283 50.867808, 11.5983897 50.8678708, 11.5984511 50.8679436, 11.5985658 50.8680916, 11.5986952 50.8682448, 11.5988306 50.8683077, 11.599076 50.8683572, 11.5996923 50.8683734, 11.6003881 50.8684016, 11.601028 50.8684707)",,"[317664121, 270937836, 270937837]",yes,K 2,
31918156,1478289439,True,,,161.18000000000004,50,,1,trunk_link,,"LINESTRING (11.5972133 50.8723173, 11.5972638 50.8720443, 11.5972775 50.8719093, 11.5972941 50.8715502, 11.5972994 50.8713368, 11.5973132 50.8712139, 11.59734 50.8711354, 11.5973758 50.8710598, 11.5974001 50.8710006, 11.5974205 50.8709324, 11.5974167 50.8708787)",,134465497,,,
31918156,1789167540,True,,,367.31199999999995,80,,2,trunk,,"LINESTRING (11.5972133 50.8723173, 11.5972993 50.8721775, 11.59737 50.8720445, 11.5974608 50.871856, 11.5975382 50.8716684, 11.5976002 50.8714599, 11.5976346 50.8713236, 11.597663 50.8711674, 11.5977027 50.8709314, 11.597709 50.8706819, 11.5976695 50.8703804, 11.5976446 50.8701812, 11.5975857 50.8698439, 11.5975543 50.8695833, 11.5975421 50.8693474, 11.5975258 50.8690587)",,134465550,,B 88,
31993078,31918151,False,,,179.312,"['50', '30']",Alter Handelsweg,2,"['residential', 'unclassified']",,"LINESTRING (11.5999581 50.8675411, 11.5998327 50.8675583, 11.5996826 50.8675432, 11.5992799 50.867475, 11.5986567 50.8673677, 11.5984191 50.8673373, 11.5979868 50.8673189, 11.5979319 50.8676555)",,"[4903732, 270937839]",,,
31993078,31995620,False,,,31.139,30,Alter Handelsweg,2,unclassified,,"LINESTRING (11.5999581 50.8675411, 11.6000046 50.8675017, 11.6000135 50.8674352, 11.6000537 50.867273)",,4903771,,,
31993078,31993087,False,,,145.498,,An der Kirche,,residential,,"LINESTRING (11.5999581 50.8675411, 11.5999858 50.8676006, 11.600049 50.8678157, 11.6001044 50.8678999, 11.6001735 50.8679447, 11.600684 50.8680636, 11.6008698 50.8681149, 11.6010138 50.8681997, 11.6010674 50.8683013, 11.6010369 50.8684266, 11.601028 50.8684707)",,"[23734531, 187161107, 270937838]",yes,,
31993087,1270681906,False,,,23.243,30,Am Leutrabach,2,tertiary,,,,24785229,,K 2,
