,node,y,x,street_count,highway,ref
0,486374,50.8789929,11.6241041,3,,
1,486611,50.8719092,11.5935316,3,,
2,31918151,50.8676555,11.5979319,4,,
3,31918156,50.8723173,11.5972133,3,motorway_junction,
4,31993078,50.8675411,11.5999581,3,,
5,31993087,50.8684707,11.601028,3,,
6,31993103,50.8687877,11.6031536,4,,
7,31993385,50.8775931,11.6192897,4,,
8,31995360,50.862382,11.5952412,3,,
9,31995366,50.8622873,11.5940962,3,,
10,31995540,50.8664572,11.6003413,3,,
11,31995620,50.867273,11.6000537,3,,
12,31996209,50.8724352,11.5951195,3,,
13,32125579,50.96088,11.5222307,4,,
14,32125585,50.9625319,11.5224511,3,,
15,32127618,50.9320018,11.6580601,3,,
16,32127691,50.930185,11.5838965,3,,
17,32127701,50.9335416,11.5706276,3,traffic_signals,
18,32127714,50.939407,11.5490205,3,,
19,32127760,50.9603542,11.5070997,3,,
20,32127783,50.9303592,11.5927789,4,,
21,32463724,50.9369293,11.5970519,3,,
22,32463783,50.9245297,11.5853057,3,,
23,32463787,50.9239347,11.5838141,3,,
24,32463826,50.901777,11.5780632,4,,
25,32463829,50.8987892,11.5799616,3,,
26,33322510,50.904523,11.5541354,3,,
27,33322828,50.8689262,11.5665411,3,,
28,33322856,50.8684942,11.5639151,1,,
29,33323084,50.8782884,11.6214189,4,,
30,35304293,50.8941804,11.5786047,4,,
31,35304303,50.8980721,11.5714547,3,,
32,35304309,50.9006323,11.5699387,3,,
33,35304319,50.9006435,11.5716602,3,,
34,35304335,50.8984849,11.5927013,4,,
35,35304352,50.8982803,11.5998598,4,,
36,35304357,50.8963478,11.6033451,3,motorway_junction,
37,35304360,50.895621,11.6033463,3,,
38,35304363,50.8948518,11.602824,3,,
39,35304375,50.8956881,11.6018243,3,,
40,35304395,50.9232476,11.5949014,3,,
41,35304401,50.9229241,11.6004169,3,,
42,35304404,50.921719,11.6031249,3,,
43,35304416,50.9200887,11.6119229,3,,
44,35304433,50.9186764,11.6267059,3,,
45,35304438,50.9179512,11.6315991,1,,
46,35304624,50.8873464,11.6105598,3,,
47,35304625,50.8890822,11.6076641,3,,
48,35304629,50.8937154,11.6022141,3,motorway_junction,
49,35304634,50.8962806,11.6018433,3,,
50,35304702,50.926975,11.5904681,3,,
51,35304709,50.9269721,11.5902895,4,,
52,35304755,50.8880248,11.6092383,3,motorway_junction,
53,35304757,50.8868642,11.6109854,3,motorway_junction,
54,35304767,50.8957421,11.6029132,3,,
55,35304837,50.8883464,11.6117743,3,,
56,35304845,50.8851549,11.6084591,4,,
57,35304855,50.8851184,11.6085403,4,,
58,35304870,50.8836288,11.6199823,3,,
59,35304875,50.8821071,11.6233449,4,,
60,35304885,50.881316,11.6298597,4,traffic_signals,
61,35304894,50.8837305,11.6202106,3,,
62,35304896,50.8871024,11.6160976,4,,
63,35305560,50.8864187,11.6093026,4,,
64,35305562,50.9259805,11.5906433,4,,
65,49261948,50.8834421,11.5966035,4,,
66,49261986,50.8977962,11.5925217,4,,
67,49262173,50.9432029,11.5936113,3,,
68,49262185,50.9458637,11.5936088,3,,
69,49314791,50.9574821,11.6069427,3,,
70,49314799,50.9605089,11.6089228,3,,
71,49314800,50.9620327,11.6081453,3,,
